Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.84     0.00      343     0.00     0.00  std::_Vector_base<BLL::Point, std::allocator<BLL::Point> >::_Vector_impl::_Vector_impl(std::allocator<BLL::Point> const&)
  0.00      0.84     0.00      326     0.00     0.00  std::_Vector_base<BLL::Point, std::allocator<BLL::Point> >::_M_deallocate(BLL::Point*, unsigned long)
  0.00      0.84     0.00      320     0.00     0.01  void std::_Destroy<BLL::Point*, BLL::Point>(BLL::Point*, BLL::Point*, std::allocator<BLL::Point>&)
  0.00      0.84     0.00      312     0.00     0.01  void std::_Destroy_aux<false>::__destroy<BLL::Point*>(BLL::Point*, BLL::Point*)
  0.00      0.84     0.00      295     0.00     0.00  std::_Vector_base<BLL::Point, std::allocator<BLL::Point> >::_Vector_impl::~_Vector_impl()
  0.00      0.84     0.00      295     0.00     0.01  void std::_Destroy<BLL::Point*>(BLL::Point*, BLL::Point*)
  0.00      0.84     0.00      293     0.00     0.00  std::_Vector_base<BLL::Point, std::allocator<BLL::Point> >::~_Vector_base()
  0.00      0.84     0.00      284     0.00     0.01  std::vector<BLL::Point, std::allocator<BLL::Point> >::~vector()
  0.00      0.84     0.00      263     0.00     0.00  __gnu_cxx::new_allocator<BLL::Point>::max_size() const
  0.00      0.84     0.00      242     0.00     0.00  std::_Vector_base<BLL::Point, std::allocator<BLL::Point> >::_Vector_impl::_M_swap_data(std::_Vector_base<BLL::Point, std::allocator<BLL::Point> >::_Vector_impl&)
  0.00      0.84     0.00      242     0.00     0.00  std::_Vector_base<BLL::Point, std::allocator<BLL::Point> >::_Vector_base(unsigned long, std::allocator<BLL::Point> const&)
  0.00      0.84     0.00      234     0.00     0.00  std::allocator_traits<std::allocator<BLL::Point> >::deallocate(std::allocator<BLL::Point>&, BLL::Point*, unsigned long)
  0.00      0.84     0.00      213     0.00     0.00  std::_Vector_base<BLL::Point, std::allocator<BLL::Point> >::_M_allocate(unsigned long)
  0.00      0.84     0.00      209     0.00     0.00  std::vector<BLL::Point, std::allocator<BLL::Point> >::begin() const
  0.00      0.84     0.00      205     0.00     0.00  std::vector<BLL::Point, std::allocator<BLL::Point> >::operator=(std::vector<BLL::Point, std::allocator<BLL::Point> >&&)
  0.00      0.84     0.00      203     0.00     0.00  std::vector<BLL::Point, std::allocator<BLL::Point> >::end() const
  0.00      0.84     0.00      201     0.00     0.00  __gnu_cxx::new_allocator<BLL::Point>::deallocate(BLL::Point*, unsigned long)
  0.00      0.84     0.00      192     0.00     0.00  std::_Vector_base<BLL::Point, std::allocator<BLL::Point> >::_M_create_storage(unsigned long)
  0.00      0.84     0.00      188     0.00     0.00  std::allocator_traits<std::allocator<BLL::Point> >::allocate(std::allocator<BLL::Point>&, unsigned long)
  0.00      0.84     0.00      186     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__addressof<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.84     0.00      182     0.00     0.00  std::allocator_traits<std::allocator<BLL::Point> >::select_on_container_copy_construction(std::allocator<BLL::Point> const&)
  0.00      0.84     0.00      182     0.00     0.03  BLL::Point* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<BLL::Point const*, std::vector<BLL::Point, std::allocator<BLL::Point> > >, BLL::Point*, BLL::Point>(__gnu_cxx::__normal_iterator<BLL::Point const*, std::vector<BLL::Point, std::allocator<BLL::Point> > >, __gnu_cxx::__normal_iterator<BLL::Point const*, std::vector<BLL::Point, std::allocator<BLL::Point> > >, BLL::Point*, std::allocator<BLL::Point>&)
  0.00      0.84     0.00      175     0.00     0.00  __gnu_cxx::new_allocator<BLL::Point>::allocate(unsigned long, void const*)
  0.00      0.84     0.00      174     0.00     0.03  std::vector<BLL::Point, std::allocator<BLL::Point> >::vector(std::vector<BLL::Point, std::allocator<BLL::Point> > const&)
  0.00      0.84     0.00      166     0.00     0.03  BLL::Point* std::uninitialized_copy<__gnu_cxx::__normal_iterator<BLL::Point const*, std::vector<BLL::Point, std::allocator<BLL::Point> > >, BLL::Point*>(__gnu_cxx::__normal_iterator<BLL::Point const*, std::vector<BLL::Point, std::allocator<BLL::Point> > >, __gnu_cxx::__normal_iterator<BLL::Point const*, std::vector<BLL::Point, std::allocator<BLL::Point> > >, BLL::Point*)
  0.00      0.84     0.00      164     0.00     0.03  BLL::Point* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<BLL::Point const*, std::vector<BLL::Point, std::allocator<BLL::Point> > >, BLL::Point*>(__gnu_cxx::__normal_iterator<BLL::Point const*, std::vector<BLL::Point, std::allocator<BLL::Point> > >, __gnu_cxx::__normal_iterator<BLL::Point const*, std::vector<BLL::Point, std::allocator<BLL::Point> > >, BLL::Point*)
